>  <logKoc(exp)> ,>  <logKoc(cal)> ,>  <logKow(cal)> 
1.4,1.6,1.18
1.43,1.56,1.1
1.95,2.12,1.99
1.94,1.98,1.64
1.57,1.64,1.3
1.75,2.16,2.06
1.48,1.66,1.3
1.45,1.77,1.65
1.86,1.9,1.74
2.01,2.05,1.99
1.71,1.95,2.08
2.42,2.19,2.42
2.34,2.3,2.39
1.95,1.94,1.83
2.28,2.51,3.37
2.86,3.16,4.84
3.28,2.49,2.19
2.32,2.52,3.37
1.57,1.69,1.7
0.44,0.18,-0.63
0.2,0.44,-0.14
0.48,0.66,0.35
0.5,0.88,0.84
0.7,1.09,1.33
1.01,1.31,1.82
1.14,1.51,2.31
1.56,1.73,2.81
1.89,1.92,3.3
2.59,2.15,3.79
0.36,0.28,-0.78
1.5,1.67,1.49
2.34,2.39,2.71
2.31,2.39,3.57
1.9,1.98,2.93
1.54,1.59,2.29
1.83,1.68,2.37
1.76,1.83,2.83
2.01,2.21,3.18
1.68,1.73,2.49
2.17,2.21,3.74
2.4,2.88,3.98
1.46,1.33,0.74
1.45,1.15,-0.18
1.95,1.45,0.56
1.78,1.57,1.29
1.93,1.46,0.56
1.51,1.46,0.65
0.53,1.55,0.9
2.31,1.58,0.37
1.42,1.53,1.2
0.99,1.53,0.83
1.84,0.88,0.5
2.55,3.05,3.45
1.52,1.94,1.67
2.3,2.58,2.74
3.27,2.83,2.84
2.04,1.68,0.76
3.32,2.99,3.42
1.41,1.6,1.08
1.65,1.81,1.62
1.9,1.84,1.62
1.96,2.03,1.72
1.96,2.17,1.97
2.36,2.23,2.04
1.93,2.0,1.8
2.26,2.36,2.51
2.72,2.36,2.37
3.25,2.33,2.37
2.49,2.32,2.37
2.29,2.35,2.37
2.6,2.72,3.01
3.03,3.17,3.65
3.94,3.18,3.65
4.62,3.61,4.3
2.28,1.83,1.62
2.26,2.06,2.17
2.78,2.76,3.29
3.3,3.05,4.11
2.4,2.3,2.35
2.53,2.63,3.3
1.82,2.08,2.24
1.67,1.85,1.9
1.5,1.62,1.36
1.83,2.22,2.66
2.38,2.2,3.02
2.8,2.41,3.51
2.54,2.52,3.81
1.75,2.01,2.3
0.56,0.65,-0.78
0.42,0.75,-0.67
1.73,1.85,1.75
2.06,2.28,2.73
2.26,2.48,3.22
2.61,2.67,3.72
2.15,2.23,2.4
2.74,2.6,3.04
2.21,2.13,3.02
2.11,2.56,3.85
2.32,2.44,3.87
3.35,3.32,4.57
1.71,2.02,2.27
2.48,1.3,0.05
2.35,1.9,1.55
1.3,1.32,0.61
2.71,2.16,2.24
2.19,2.27,2.26
1.8,1.83,1.62
1.89,1.89,1.6
1.66,1.78,1.74
1.48,1.58,1.25
1.94,1.98,2.16
1.44,1.36,0.79
1.4,1.38,0.79
2.07,2.17,2.62
2.33,2.41,3.51
3.28,2.94,4.08
1.9,1.61,1.4
1.71,2.19,2.86
1.92,2.14,2.91
3.27,2.91,3.9
2.56,2.76,2.25
3.93,4.0,5.31
3.99,4.02,5.31
3.61,3.4,3.78
2.92,2.86,2.92
3.4,2.79,2.73
3.94,3.51,4.42
4.01,4.17,5.62
3.63,3.36,3.96
3.55,3.99,5.07
3.98,3.63,5.15
2.55,2.11,1.29
1.84,2.19,2.65
3.14,2.96,4.46
3.14,2.98,4.61
4.72,3.79,6.57
3.21,3.39,4.84
2.1,1.79,1.83
2.3,1.99,2.32
3.16,2.58,3.04
2.48,2.12,2.14
1.89,2.05,2.57
2.61,1.87,3.32
3.02,2.11,3.81
3.3,2.92,3.29
4.94,4.57,8.39
2.21,2.16,2.49
2.06,1.66,2.83
1.6,1.73,1.66
1.97,1.46,2.34
2.74,2.18,1.95
2.59,2.23,2.87
2.74,2.39,2.6
2.53,2.49,2.89
3.74,4.01,6.76
4.8,4.56,7.43
2.09,3.05,3.67
2.2,2.07,1.81
1.73,1.97,1.47
2.53,2.82,3.1
1.88,1.95,1.47
2.42,2.58,2.7
2.6,2.94,3.35
4.23,3.63,4.39
4.36,4.01,5.03
0.4,1.63,1.68
1.8,2.78,3.36
3.28,3.03,3.68
1.99,2.86,3.26
1.73,2.23,2.52
1.66,2.37,2.62
1.48,2.15,1.9
2.74,3.31,4.23
1.5,2.15,2.14
1.3,2.11,1.36
1.52,2.3,2.08
1.37,1.75,1.33
1.43,2.59,2.53
1.43,1.79,1.39
1.54,2.0,1.69
1.77,2.14,2.42
1.53,2.03,1.51
2.3,2.49,2.78
0.0,0.59,0.09
1.5,1.9,1.87
1.46,1.4,2.05
1.07,1.63,1.07
1.45,1.68,1.43
1.43,1.79,1.51
2.65,2.5,2.8
2.75,2.51,2.8
3.02,2.97,3.45
3.36,2.98,3.45
3.56,2.93,3.45
3.35,3.38,4.09
3.73,3.81,4.74
2.41,2.35,2.4
